year,reg_name,tax_name,reg_id,tax_id,amount
2013,Provence-Alpes-Côte d'Azur,Charges financières,d2cc5169-137b-41a4-a683-91d94847ef98,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,67098706.61
2017,Provence-Alpes-Côte d'Azur,Charges financières,d2cc5169-137b-41a4-a683-91d94847ef98,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,79035112.44
2016,Provence-Alpes-Côte d'Azur,Charges financières,d2cc5169-137b-41a4-a683-91d94847ef98,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,76294679.54
2014,Provence-Alpes-Côte d'Azur,Charges financières,d2cc5169-137b-41a4-a683-91d94847ef98,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,73277233.05
2018,Provence-Alpes-Côte d'Azur,Charges financières,d2cc5169-137b-41a4-a683-91d94847ef98,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,85759999.44
2019,Provence-Alpes-Côte d'Azur,Charges financières,d2cc5169-137b-41a4-a683-91d94847ef98,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,87857153.29
2015,Provence-Alpes-Côte d'Azur,Charges financières,d2cc5169-137b-41a4-a683-91d94847ef98,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,75867560.38
2012,Provence-Alpes-Côte d'Azur,Charges financières,d2cc5169-137b-41a4-a683-91d94847ef98,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,60510791.47
2013,Normandie,Charges financières,595dfc9d-6340-431b-89e0-d97b6a981735,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,8033153.34
2012,Normandie,Charges financières,595dfc9d-6340-431b-89e0-d97b6a981735,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,7641729.63
2015,Normandie,Charges financières,595dfc9d-6340-431b-89e0-d97b6a981735,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,6294463.03
2019,Normandie,Charges financières,595dfc9d-6340-431b-89e0-d97b6a981735,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,9492674.97
2017,Normandie,Charges financières,595dfc9d-6340-431b-89e0-d97b6a981735,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,11740392.15
2012,Normandie,Charges financières,595dfc9d-6340-431b-89e0-d97b6a981735,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,6877918.58
2013,Normandie,Charges financières,595dfc9d-6340-431b-89e0-d97b6a981735,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,8173541.38
2014,Normandie,Charges financières,595dfc9d-6340-431b-89e0-d97b6a981735,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,7182056.28
2014,Normandie,Charges financières,595dfc9d-6340-431b-89e0-d97b6a981735,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,7609704.73
2015,Normandie,Charges financières,595dfc9d-6340-431b-89e0-d97b6a981735,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,7305958.75
2018,Normandie,Charges financières,595dfc9d-6340-431b-89e0-d97b6a981735,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,10586984.36
2016,Normandie,Charges financières,595dfc9d-6340-431b-89e0-d97b6a981735,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,12152807.34
2015,Corse,Charges financières,d8581684-67e6-4201-b019-9499161dc5c2,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,21268776.95
2013,Corse,Charges financières,d8581684-67e6-4201-b019-9499161dc5c2,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,15265449.66
2017,Corse,Charges financières,d8581684-67e6-4201-b019-9499161dc5c2,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,18476826.42
2019,Corse,Charges financières,d8581684-67e6-4201-b019-9499161dc5c2,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,22554583.36
2012,Corse,Charges financières,d8581684-67e6-4201-b019-9499161dc5c2,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,12235906.13
2018,Corse,Charges financières,d8581684-67e6-4201-b019-9499161dc5c2,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,23280502.78
2014,Corse,Charges financières,d8581684-67e6-4201-b019-9499161dc5c2,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,16855365.17
2016,Corse,Charges financières,d8581684-67e6-4201-b019-9499161dc5c2,08a0eb61-f98d-4b6d-ba03-0e3c118c5da5,25959901.09
