Title,Description,Summary
"Sécurité routière : en Roumanie sur l'E85, la route de tous les dangers",La route qui traverse la Roumanie du Nord au Sud est l'un des axes les plus dangereux d'Europe : plus de 800 morts au cours des dix dernières années. Comment l'expliquer ?,La route qui traverse la Roumanie du Nord au Sud est l'un des axes les plus dangereux d'Europe : plus de 800 morts au cours des dix dernières années. Comment l'expliquer ?
Un acquéreur de poupées sexuelles sur Shein mis en examen en Isère pour détention d'images pédopornographiques,"Le quadragénaire s'était spontanément présenté à la gendarmerie, mercredi, reconnaissant avoir acheté deux de ces poupées sur le site de commerce en ligne. Des images pédopornographiques ont été découvertes à son domicile.","Le quadragénaire s'était spontanément présenté à la gendarmerie, mercredi, reconnaissant avoir acheté deux de ces poupées sur le site de commerce en ligne. Des images pédopornographiques ont été découvertes à son domicile."
"VIDEO. Assassinat politique ou crime crapuleux ? Quand l'affaire Poulet-Dachary rebondissait, quatre ans après la mort du bras droit du maire FN de Toulon","Entre fausses pistes, coups de théâtre judiciaires et suspicion de crime politique, la mort en 1995 de Jean-Claude Poulet-Dachary, pilier du Front national varois, garde trois décennies plus tard un parfum de mystère. Dans cet extrait d'""Affaires sensibles"", l'énigme semble trouver un début de réponse...","Entre fausses pistes, coups de théâtre judiciaires et suspicion de crime politique, la mort en 1995 de Jean-Claude Poulet-Dachary, pilier du Front national varois, garde trois décennies plus tard un parfum de mystère. Dans cet extrait d'""Affaires sensibles"", l'énigme semble trouver un début de réponse..."
Thaïlande : les Miss en colère après le débordement d'un membre du comité,Un membre du comité Miss Univers Thaïlande s'en est violemment pris verbalement à Miss Mexique devant les autres miss. Un épisode qui a profondément choqué et fait réagir dans les hautes sphères politiques mexicaines.,Un membre du comité Miss Univers Thaïlande s'en est violemment pris verbalement à Miss Mexique devant les autres miss. Un épisode qui a profondément choqué et fait réagir dans les hautes sphères politiques mexicaines.
Poupées pédopornographiques sur Shein : l'association La voix de l'Enfant a porté plainte,"La présidente de l'association salue les procédures engagées par le gouvernement français et appelle à poursuivre ""tous les prédateurs qui ont pu se fournir chez Shein"".","La présidente de l'association salue les procédures engagées par le gouvernement français et appelle à poursuivre ""tous les prédateurs qui ont pu se fournir chez Shein""."
"Freeze branding : le tatouage par le froid, en vogue sur les réseaux sociaux, peut provoquer nécroses et cancers","Cette technique utilisant de l'azote liquide à -196°C vient du marquage du bétail et est parfois préférée au tatouage traditionnel, plus long et plus douloureux. Mais attention, les risques sont nombreux.","Cette technique utilisant de l'azote liquide à -196°C vient du marquage du bétail et est parfois préférée au tatouage traditionnel, plus long et plus douloureux. Mais attention, les risques sont nombreux."
"""Quelqu’un s’est mis à hurler et a jeté des tracts dans le public"" : le concert de l'orchestre philharmonique d'Israël perturbé à l'aide de fumigènes à Paris","Quatre personnes ont été placées en garde à vue jeudi soir, soupçonnées d'avoir tenté d'interrompre le concert de l'orchestre philharmonique d'Israël, notamment à l'aide de fumigènes, à la Philharmonie de Paris.","Quatre personnes ont été placées en garde à vue jeudi soir, soupçonnées d'avoir tenté d'interrompre le concert de l'orchestre philharmonique d'Israël, notamment à l'aide de fumigènes, à la Philharmonie de Paris."
"Le Danemark compte interdire ""rapidement"" plusieurs réseaux sociaux aux moins de 15 ans","""Nous devons veiller à ce qu'il n'existe aucune faille permettant aux géants de la tech de contourner le système"", a expliqué vendredi la ministre danoise du Numérique à l'agence Associated Press.","""Nous devons veiller à ce qu'il n'existe aucune faille permettant aux géants de la tech de contourner le système"", a expliqué vendredi la ministre danoise du Numérique à l'agence Associated Press."
Accusations de viols au tribunal de Bobigny : une policière sera systématiquement présente au sein de l'effectif de nuit,"Cette annonce survient une semaine après la mise en examen des deux mis en cause accusés d'avoir violé une prévenue au dépôt du tribunal, dans une cellule au sous-sol du bâtiment.","Cette annonce survient une semaine après la mise en examen des deux mis en cause accusés d'avoir violé une prévenue au dépôt du tribunal, dans une cellule au sous-sol du bâtiment."
"PODCAST. Un numéro d’appel contre le harcèlement scolaire, les dix ans du 13 novembre et une comète lointaine","En reportage avec les équipes du 3018 qui aident les enfants victimes de harcèlement, les dix ans des attentats du 13 novembre et une comète lancée à toute vitesse : c’est le programme du nouvel épisode de Salut l’info !","En reportage avec les équipes du 3018 qui aident les enfants victimes de harcèlement, les dix ans des attentats du 13 novembre et une comète lancée à toute vitesse : c’est le programme du nouvel épisode de Salut l’info !"
